2, F, 125, 134
2, F, 134, 143
2, F, 143, 152
2, F, 152, 161
2, F, 161, 170
2, F, 170, 179
2, F, 179, 188
2, F, 188, 197
2, F, 197, 206
2, B, 206, 217
2, B, 217, 228
2, F, 228, 237
2, B, 237, 248
2, F, 248, 257
2, B, 257, 268
2, F, 268, 277
2, B, 277, 288
2, B, 288, 299
2, W, 299, 305
2, B, 305, 316
2, W, 316, 322
2, B, 322, 333
2, W, 333, 339
2, B, 339, 350
2, W, 350, 356
2, B, 356, 367
2, W, 367, 373
2, W, 373, 379
2, B, 379, 390
2, W, 390, 396
2, B, 396, 407
2, W, 407, 413
2, B, 413, 424
2, W, 424, 430
2, B, 430, 441
2, B, 441, 452
2, W, 452, 458
2, B, 458, 469
2, W, 469, 475
2, B, 475, 486
2, W, 486, 492
2, W, 492, 498
2, B, 498, 509
2, W, 509, 515
2, B, 515, 526
2, W, 526, 532
2, B, 532, 543
2, W, 543, 549
2, B, 549, 560
2, W, 560, 566
2, B, 566, 577
2, W, 577, 583
2, W, 583, 589
2, B, 589, 600
2, W, 600, 606
2, B, 606, 617
2, W, 617, 623
2, W, 623, 629
2, W, 629, 635
2, W, 635, 641
3, F, 26, 35
3, F, 35, 44
3, F, 44, 53
3, F, 53, 62
3, F, 62, 71
3, F, 71, 80
3, F, 80, 89
3, F, 89, 98
3, F, 98, 107
3, F, 107, 116
3, F, 116, 125
3, F, 125, 134
3, F, 134, 143
3, F, 143, 152
3, F, 152, 161
3, F, 161, 170
3, F, 170, 179
3, F, 179, 188
3, B, 188, 198
3, F, 198, 207
3, B, 207, 217
3, F, 217, 226
3, B, 226, 236
3, F, 236, 245
3, B, 245, 255
3, F, 255, 264
3, B, 264, 274
3, B, 274, 284
3, F, 284, 293
3, B, 293, 303
3, F, 303, 312
3, B, 312, 322
3, W, 322, 328
3, B, 328, 338
3, W, 338, 344
3, B, 344, 354
3, W, 354, 360
3, W, 360, 366
3, B, 366, 376
3, W, 376, 382
3, B, 382, 392
3, W, 392, 398
3, B, 398, 408
3, W, 408, 414
3, W, 414, 420
3, B, 420, 430
3, B, 430, 440
3, W, 440, 446
3, B, 446, 456
3, W, 456, 462
3, B, 462, 472
3, W, 472, 478
3, W, 478, 484
3, B, 484, 494
3, W, 494, 500
3, B, 500, 510
3, W, 510, 516
3, W, 516, 522
3, B, 522, 532
3, W, 532, 538
3, B, 538, 548
3, W, 548, 554
3, B, 554, 564
3, W, 564, 570
3, W, 570, 576
3, B, 576, 586
3, W, 586, 592
3, B, 592, 602
3, W, 602, 608
3, W, 608, 614
3, W, 614, 620
3, W, 620, 626
4, F, 35, 44
4, F, 44, 53
4, F, 53, 62
4, F, 62, 71
4, F, 71, 80
4, F, 80, 89
4, F, 89, 98
4, F, 98, 107
4, F, 107, 116
4, F, 116, 125
4, F, 125, 134
4, F, 134, 143
4, F, 143, 152
4, F, 152, 161
4, F, 161, 170
4, B, 170, 180
4, F, 180, 189
4, B, 189, 199
4, F, 199, 208
4, B, 208, 218
4, F, 218, 227
4, B, 227, 237
4, F, 237, 246
4, B, 246, 256
4, B, 256, 266
4, F, 266, 275
4, B, 275, 285
4, F, 285, 294
4, B, 294, 304
4, F, 304, 313
4, B, 313, 323
4, F, 323, 332
4, B, 332, 342
4, F, 342, 351
4, B, 351, 361
4, W, 361, 367
4, B, 367, 377
4, W, 377, 383
4, B, 383, 393
4, W, 393, 399
4, W, 399, 405
4, B, 405, 415
4, B, 415, 425
4, W, 425, 431
4, B, 431, 441
4, W, 441, 447
4, B, 450, 460
4, W, 460, 466
4, W, 466, 472
4, B, 472, 482
4, W, 482, 488
4, B, 488, 498
4, W, 498, 504
4, W, 504, 510
4, B, 510, 520
4, W, 520, 526
4, B, 526, 536
4, W, 536, 542
4, B, 542, 552
4, W, 552, 558
4, W, 558, 564
4, B, 564, 574
4, W, 574, 580
4, B, 580, 590
4, W, 590, 596
4, W, 596, 602
4, W, 602, 608
4, W, 608, 614
4, W, 614, 620
4, W, 620, 626
4, W, 626, 632
4, W, 632, 638
5, F, 44, 53
5, F, 53, 62
5, F, 62, 71
5, F, 71, 80
5, F, 80, 89
5, F, 89, 98
5, F, 98, 107
5, F, 107, 116
5, F, 116, 125
5, F, 125, 134
5, F, 134, 143
5, F, 143, 152
5, B, 152, 162
5, F, 162, 171
5, B, 171, 181
5, F, 181, 190
5, B, 190, 200
5, F, 200, 209
5, B, 209, 219
5, F, 219, 228
5, B, 228, 238
5, B, 240, 250
5, F, 250, 259
5, B, 259, 269
5, F, 269, 278
5, B, 278, 288
5, F, 288, 297
5, B, 297, 307
5, F, 307, 316
5, B, 316, 326
5, F, 326, 335
5, B, 335, 345
5, F, 345, 354
5, B, 354, 364
5, F, 364, 373
5, B, 373, 383
5, F, 383, 392
5, B, 392, 402
5, B, 402, 412
5, W, 412, 418
5, B, 421, 431
5, W, 431, 437
5, B, 440, 450
5, W, 450, 456
5, W, 456, 462
5, B, 462, 472
5, W, 472, 478
5, B, 478, 488
5, W, 488, 494
5, W, 494, 500
5, B, 500, 510
5, W, 510, 516
5, B, 516, 526
5, W, 526, 532
5, B, 532, 542
5, W, 542, 548
5, W, 548, 554
5, B, 554, 564
5, W, 564, 570
5, B, 570, 580
5, W, 580, 586
5, W, 586, 592
5, W, 592, 598
5, W, 598, 604
5, W, 604, 610
5, W, 610, 616
5, W, 616, 622
5, W, 622, 628
5, W, 628, 634
5, W, 634, 640
5, W, 640, 646
5, W, 646, 652
6, F, 53, 62
6, F, 62, 71
6, F, 71, 80
6, F, 80, 89
6, F, 89, 98
6, F, 98, 107
6, F, 107, 116
6, F, 116, 125
6, F, 125, 134
6, B, 140, 150
6, F, 150, 159
6, B, 159, 169
6, F, 169, 178
6, B, 178, 188
6, F, 188, 197
6, B, 197, 207
6, F, 207, 216
6, B, 216, 226
6, B, 230, 240
6, F, 240, 249
6, B, 249, 259
6, F, 259, 268
6, B, 268, 278
6, F, 278, 287
6, B, 287, 297
6, F, 297, 306
6, B, 306, 316
6, F, 316, 325
6, B, 325, 335
6, F, 335, 344
6, B, 344, 354
6, F, 354, 363
6, B, 363, 373
6, F, 373, 382
6, B, 382, 392
6, B, 392, 402
6, F, 402, 411
6, B, 411, 421
6, F, 421, 430
6, B, 430, 440
6, F, 440, 449
6, B, 449, 459
6, W, 459, 465
6, B, 465, 475
6, W, 475, 481
6, W, 481, 487
6, B, 487, 497
6, W, 497, 503
6, B, 503, 513
6, W, 513, 519
6, B, 519, 529
6, W, 529, 535
6, W, 535, 541
6, B, 541, 551
6, W, 551, 557
6, B, 557, 567
6, W, 567, 573
6, W, 573, 579
6, W, 579, 585
6, W, 585, 591
6, W, 591, 597
6, W, 597, 603
6, W, 603, 609
6, W, 609, 615
6, W, 615, 621
6, W, 621, 627
6, W, 627, 633
6, W, 633, 639
6, W, 639, 645
6, W, 645, 651
6, W, 651, 657
6, W, 657, 663
7, F, 92, 101
7, B, 101, 110
7, F, 110, 119
7, B, 119, 128
7, F, 128, 137
7, B, 137, 146
7, F, 146, 155
7, B, 155, 164
7, F, 164, 173
7, B, 173, 182
7, F, 182, 191
7, B, 191, 200
7, F, 200, 209
7, B, 209, 218
7, F, 218, 227
7, B, 227, 236
7, F, 236, 245
7, B, 245, 254
7, F, 254, 263
7, B, 263, 272
7, F, 272, 281
7, B, 281, 290
7, F, 290, 299
7, B, 299, 308
7, F, 308, 317
7, B, 317, 326
7, F, 326, 335
7, B, 335, 344
7, F, 344, 353
7, B, 353, 362
7, F, 362, 371
7, B, 371, 380
7, F, 380, 389
7, B, 389, 398
7, F, 398, 407
7, B, 407, 416
7, F, 416, 425
7, B, 425, 434
7, F, 434, 443
7, B, 443, 452
7, F, 452, 461
7, B, 461, 470
7, F, 470, 479
7, B, 479, 488
7, F, 488, 497
7, B, 497, 506
7, F, 506, 515
7, B, 515, 524
7, W, 524, 530
7, W, 530, 536
7, W, 536, 542
7, W, 542, 548
7, W, 548, 554
7, W, 554, 560
7, W, 560, 566
7, W, 566, 572
7, W, 572, 578
7, W, 578, 584
7, W, 584, 590
7, W, 590, 596
7, W, 596, 602
7, W, 602, 608
7, W, 608, 614
7, W, 614, 620
7, W, 620, 626
7, W, 626, 632
7, W, 632, 638
7, W, 638, 644
7, W, 644, 650
7, W, 650, 656
7, W, 656, 662
7, W, 662, 668
