s, n, base, ilp_t, ilp_st, ilp_cost, our_t, our_st, our_cost
8, 32, 10, 1413.221, 1413.221, 19.93806004524231, 1463.0, 1400.0, 0.029994964599609375
8, 32, 15, 2421.1968, 2421.1968, 41.21607518196106, 2483.0, 2368.0, 0.046167850494384766
8, 32, 15, 2487.8367, 2487.8367, 40.50360608100891, 2547.0, 2374.0, 0.04795694351196289
8, 32, 15, 2151.9659, 2151.9659, 41.73592400550842, 2180.0, 2048.0, 0.04372811317443848
8, 32, 15, 2236.5068, 2236.5068, 45.19629120826721, 2278.0, 2054.0, 0.04409909248352051
8, 32, 15, 2286.3245, 2286.3245, 40.34208703041077, 2329.0, 2272.0, 0.04723477363586426
8, 32, 20, 3663.8378, 3663.8378, 40.32633709907532, 3710.0, 3552.0, 0.06611800193786621
8, 32, 20, 3715.6665, 3715.6665, 40.64514207839966, 3761.0, 3616.0, 0.06889009475708008
8, 32, 20, 2701.6707, 2701.6707, 39.719000816345215, 2733.0, 2528.0, 0.051400184631347656
8, 32, 20, 3479.7643, 3479.7643, 39.8825249671936, 3522.0, 3378.0, 0.0641179084777832
8, 32, 20, 2493.0603, 2493.0603, 41.149593114852905, 2542.0, 2368.0, 0.04697299003601074
8, 32, 25, 4249.0541, 4249.0541, 39.526150941848755, 4316.0, 4128.0, 0.07652115821838379
8, 32, 25, 4068.307, 4068.307, 39.62362623214722, 4091.0, 3782.0, 0.07172179222106934
8, 32, 25, 3998.5339, 3998.5339, 39.39442777633667, 4034.0, 3840.0, 0.07287716865539551
8, 32, 25, 4142.5387, 4142.5387, 39.555330991744995, 4149.0, 4000.0, 0.07347893714904785
8, 32, 25, 4138.3164, 4138.3164, 40.21789312362671, 4172.0, 3936.0, 0.07637500762939453
8, 32, 30, 4736.8761, 4736.8761, 39.93666911125183, 4810.0, 4448.0, 0.08965301513671875
8, 32, 30, 5190.4998, 5190.4998, 39.62606477737427, 5223.0, 4992.0, 0.09100532531738281
8, 32, 30, 3811.4849, 3811.4849, 40.63689613342285, 3890.0, 3644.0, 0.0708611011505127
8, 32, 30, 4745.4886, 4745.4886, 40.81328988075256, 4822.0, 4608.0, 0.08318805694580078
8, 32, 30, 4315.5297, 4315.5297, 39.55307197570801, 4385.0, 4000.0, 0.07539200782775879
